Ctrl,Alt,Win,Shift,Key,Default,Overload
,,,,Up,Move up,None
X,,,,Up,Step up,Align top
X,,,X,Up,None,Vertical center align
X,X,,,Up,,
X,X,,X,Up,,
X,,X,,Up,,
X,,X,X,Up,,
X,X,X,,Up,,
X,X,X,X,Up,,
,X,,,Up,,
,X,,X,Up,,
,X,X,,Up,,
,X,X,X,Up,,
,,X,,Up,,
,,X,X,Up,,
,,,X,Up,Big move up,
,,,,Down,Move down,
X,,,,Down,Step into,Align bottom
X,,,X,Down,,
X,X,,,Down,,
X,X,,X,Down,,
X,,X,,Down,,
X,,X,X,Down,,
X,X,X,,Down,,
X,X,X,X,Down,,
,X,,,Down,,
,X,,X,Down,,
,X,X,,Down,,
,X,X,X,Down,,
,,X,,Down,,
,,X,X,Down,,
,,,X,Down,Big move down,
,,,,Left,Move left,
X,,,,Left,None,Align left
X,,,X,Left,None,Horizontal center align
X,X,,,Left,,
X,X,,X,Left,,
X,,X,,Left,,
X,,X,X,Left,,
X,X,X,,Left,,
X,X,X,X,Left,,
,X,,,Left,,
,X,,X,Left,,
,X,X,,Left,,
,X,X,X,Left,,
,,X,,Left,,
,,X,X,Left,,
,,,X,Left,Big move left,
,,,,Right,Move right,None
X,,,,Right,Step over,Align right
X,,,X,Right,,
X,X,,,Right,,
X,X,,X,Right,,
X,,X,,Right,,
X,,X,X,Right,,
X,X,X,,Right,,
X,X,X,X,Right,,
,X,,,Right,,
,X,,X,Right,,
,X,X,,Right,,
,X,X,X,Right,,
,,X,,Right,,
,,X,X,Right,,
,,,X,Right,Big move right,
,,,,`,None,None
X,,,,`,None,Current block diagrams
X,,,X,`,None,Organize LabVIEW windows
X,X,,,`,None,None
X,X,,X,`,None,None
X,,X,,`,None,None
X,,X,X,`,None,None
X,X,X,,`,None,None
X,X,X,X,`,None,None
,X,,,`,None,None
,X,,X,`,None,None
,X,X,,`,None,None
,X,X,X,`,None,None
,,X,,`,None,None
,,X,X,`,None,None
,,,X,`,None,None
,,,,F12,None,Reload AHK IDE script
X,,,,F12,None,Kill AHK IDE script
X,,,X,F12,None,None
X,X,,,F12,None,None
X,X,,X,F12,None,None
X,,X,,F12,None,None
X,,X,X,F12,None,None
X,X,X,,F12,None,None
X,X,X,X,F12,None,None
,X,,,F12,None,None
,X,,X,F12,None,None
,X,X,,F12,None,None
,X,X,X,F12,None,None
,,X,,F12,None,None
,,X,X,F12,None,None
,,,X,F12,None,None
,,,,LButton,Default click action,None
X,,,,LButton,Wire tool / Make room,None
X,,,X,LButton,Pan hand tool,None
X,X,,,LButton,None,None
X,X,,X,LButton,None,None
X,,X,,LButton,None,None
X,,X,X,LButton,None,None
X,X,X,,LButton,None,None
X,X,X,X,LButton,None,None
,X,,,LButton,None,None
,X,,X,LButton,None,None
,X,X,,LButton,None,None
,X,X,X,LButton,None,None
,,X,,LButton,None,None
,,X,X,LButton,None,None
,,,X,LButton,None,None
,,,,MButton,None,Clean wires under cursor
X,,,,MButton,None,None
X,,,X,MButton,None,None
X,X,,,MButton,None,None
X,X,,X,MButton,None,None
X,,X,,MButton,None,None
X,,X,X,MButton,None,None
X,X,X,,MButton,None,None
X,X,X,X,MButton,None,None
,X,,,MButton,None,None
,X,,X,MButton,None,None
,X,X,,MButton,None,None
,X,X,X,MButton,None,None
,,X,,MButton,None,None
,,X,X,MButton,None,None
,,,X,MButton,None,None
,,,,e,None,None
X,,,,e,Open Block Diagram / Front Panel,Open Block Diagram / Front Panel and organize windows
X,,,X,e,This VI in project,None
X,X,,,e,None,None
X,X,,X,e,None,None
X,,X,,e,None,None
X,,X,X,e,None,None
X,X,X,,e,None,None
X,X,X,X,e,None,None
,X,,,e,None,None
,X,,X,e,Open Edit menu in toolbar,None
,X,X,,e,None,None
,X,X,X,e,None,None
,,X,,e,Windows shortcut open explorer,None
,,X,X,e,None,None
,,,X,e,None,None
,,,,Alt,None,Slow mouse while pressed
